ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
9,ResUnitSF,1,1,FALSE,-106.8734436,200,1.61051,0,5343.67218,4.83E-04,0.002,0,-1.61E-04,0,FALSE
10,ResUnitSF,1,1,FALSE,-130.5801508,200,1.61051,0,6529.00754,4.83E-04,0.002,0,-1.61E-04,0,FALSE
11,ResUnitSF,1,1,FALSE,-52.663677,200,1.61051,0,2633.18385,4.83E-04,0.002,0,-1.61E-04,0,FALSE
12,ResUnitSF,1,1,FALSE,-171.6481558,200,1.61051,0,8582.40779,4.83E-04,0.002,0,-1.61E-04,0,FALSE
13,ResUnitSF,1,1,FALSE,-184.0490828,200,1.61051,0,9202.45414,4.83E-04,0.002,0,-1.61E-04,0,FALSE
14,ResUnitSF,1,1,FALSE,-225.2459286,200,1.61051,0,11262.29643,4.83E-04,0.002,0,-1.61E-04,0,FALSE
15,ResUnitSF,1,1,FALSE,-184.403395,200,1.61051,0,9223.39077,4.83E-04,0.002,0,-1.61E-04,0,FALSE
16,ResUnitSF,1,1,FALSE,-205.4044454,200,1.61051,0,10270.22227,4.83E-04,0.002,0,-1.61E-04,0,FALSE
17,ResUnitSF,1,1,FALSE,-110.7064574,200,1.61051,0,5535.32287,4.83E-04,0.002,0,-1.61E-04,0,FALSE
18,ResUnitSF,1,1,FALSE,-168.4271358,200,1.61051,0,8421.35679,4.83E-04,0.002,0,-1.61E-04,0,FALSE
19,ResUnitSF,1,1,FALSE,-151.2590992,200,1.61051,0,7562.95496,4.83E-04,0.002,0,-1.61E-04,0,FALSE
20,ResUnitSF,1,1,FALSE,-194.388557,200,1.61051,0,9719.42785,4.83E-04,0.002,0,-1.61E-04,0,FALSE
21,ResUnitSF,1,1,FALSE,-152.837399,200,1.61051,0,7641.86995,4.83E-04,0.002,0,-1.61E-04,0,FALSE
22,ResUnitSF,1,1,FALSE,-169.264601,200,1.61051,0,8463.23005,4.83E-04,0.002,0,-1.61E-04,0,FALSE
23,ResUnitSF,1,1,FALSE,-20.2602158,200,1.61051,0,1013.01079,4.83E-04,0.002,0,-1.61E-04,0,FALSE
24,ResUnitSF,1,1,FALSE,-51.1497976,200,1.61051,0,2557.48988,4.83E-04,0.002,0,-1.61E-04,0,FALSE
25,ResUnitSF,1,1,FALSE,-115.6668282,200,1.61051,0,5783.34141,4.83E-04,0.002,0,-1.61E-04,0,FALSE
26,ResUnitSF,1,1,FALSE,-226.8886488,200,1.61051,0,11344.43244,4.83E-04,0.002,0,-1.61E-04,0,FALSE
27,ResUnitSF,1,1,FALSE,-93.0552678,200,1.61051,0,4652.76339,4.83E-04,0.002,0,-1.61E-04,0,FALSE
28,ResUnitSF,1,1,FALSE,-58.300462,200,1.61051,0,2915.0231,4.83E-04,0.002,0,-1.61E-04,0,FALSE
29,ResUnitSF,1,1,FALSE,-143.657492,200,1.61051,0,7182.8746,4.83E-04,0.002,0,-1.61E-04,0,FALSE
30,ResUnitSF,1,1,FALSE,-179.4752344,200,1.61051,0,8973.76172,4.83E-04,0.002,0,-1.61E-04,0,FALSE
31,ResUnitSF,1,1,FALSE,-57.173105,200,1.61051,0,2858.65525,4.83E-04,0.002,0,-1.61E-04,0,FALSE
32,ResUnitSF,1,1,FALSE,-94.5691472,200,1.61051,0,4728.45736,4.83E-04,0.002,0,-1.61E-04,0,FALSE
33,ResUnitSF,1,1,FALSE,-55.1760726,200,1.61051,0,2758.80363,4.83E-04,0.002,0,-1.61E-04,0,FALSE
34,ResUnitSF,1,1,FALSE,-61.9724248,200,1.61051,0,3098.62124,4.83E-04,0.002,0,-1.61E-04,0,FALSE
35,ResUnitSF,1,1,FALSE,-189.3637658,200,1.61051,0,9468.18829,4.83E-04,0.002,0,-1.61E-04,0,FALSE
36,ResUnitSF,1,1,FALSE,-121.6901356,200,1.61051,0,6084.50678,4.83E-04,0.002,0,-1.61E-04,0,FALSE
37,ResUnitSF,1,1,FALSE,-98.5954222,200,1.61051,0,4929.77111,4.83E-04,0.002,0,-1.61E-04,0,FALSE
38,ResUnitSF,1,1,FALSE,-37.1383606,200,1.61051,0,1856.91803,4.83E-04,0.002,0,-1.61E-04,0,FALSE
39,ResUnitSF,1,1,FALSE,-24.2542806,200,1.61051,0,1212.71403,4.83E-04,0.002,0,-1.61E-04,0,FALSE
40,ResUnitSF,1,1,FALSE,-116.923026,200,1.61051,0,5617.45888,4.83E-04,0.002,0,-1.61E-04,0,FALSE
41,ResUnitSF,1,1,FALSE,-184.1779236,200,1.61051,0,9179.907,4.83E-04,0.002,0,-1.61E-04,0,FALSE
42,ResUnitSF,1,1,FALSE,-136.2169358,200,1.61051,0,6731.9318,4.83E-04,0.002,0,-1.61E-04,0,FALSE
43,ResUnitSF,1,1,FALSE,-121.2391928,200,1.61051,0,4710.74175,4.83E-04,0.002,0,-1.61E-04,0,FALSE
44,ResUnitSF,1,1,FALSE,-68.2534138,200,1.61051,0,3398.1761,4.83E-04,0.002,0,-1.61E-04,0,FALSE
45,ResUnitSF,1,1,FALSE,-365.1670374,200,1.61051,0,18253.52034,4.83E-04,0.002,0,-1.61E-04,0,FALSE
46,ResUnitSF,1,1,FALSE,-183.7269808,200,1.61051,0,9005.97192,4.83E-04,0.002,0,-1.61E-04,0,FALSE
47,ResUnitSF,1,1,FALSE,-18.2953936,200,1.61051,0,916.38019,4.83E-04,0.002,0,-1.61E-04,0,FALSE
48,ResUnitSF,1,1,FALSE,-127.9389144,200,1.61051,0,6401.77725,4.83E-04,0.002,0,-1.61E-04,0,FALSE
49,ResUnitSF,1,1,FALSE,-8.5679132,200,1.61051,0,428.39566,4.83E-04,0.002,0,-1.61E-04,0,FALSE
50,ResUnitSF,1,1,FALSE,-257.7782306,200,1.61051,0,12619.95636,4.83E-04,0.002,0,-1.61E-04,0,FALSE
51,ResUnitSF,1,1,FALSE,-56.4644806,200,1.61051,0,2058.23178,4.83E-04,0.002,0,-1.61E-04,0,FALSE
52,ResUnitSF,1,1,FALSE,-83.3599976,200,1.61051,0,4164.77886,4.83E-04,0.002,0,-1.61E-04,0,FALSE
53,ResUnitSF,1,1,FALSE,0,200,1.61051,0,0,4.83E-04,0.002,0,-1.61E-04,0,FALSE
