Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
1,220,11.9,14.9,0,-1.153,-0.825,-0.718,-0.407,0.203,-0.181,-0.497
1,221,14,16.6,0,-1.829,-1.263,-0.955,-0.537,0.074,-0.304,-0.663
1,222,16.9,20.5,0,-2.041,-1.427,-1.176,-0.661,-0.059,-0.422,-0.84
1,223,24.8,29,0,-3.001,-2.141,-1.858,-1.079,-0.471,-0.799,-1.363
1,224,25.4,29.7,0,-3.03,-2.548,-2.275,-1.275,-0.693,-1.018,-1.677
1,225,25.7,30,0,-3.321,-2.508,-2.001,-1.11,-0.518,-0.846,-1.434
1,226,41.8,45.6,0,-4.987,-3.561,-2.548,-1.808,-1.218,-1.524,-2.344
1,227,44.6,48.4,0,-5.04,-3.712,-2.686,-1.913,-1.333,-1.635,-2.498
1,228,46.4,50.3,0,-5.636,-4.005,-2.771,-1.993,-1.398,-1.704,-2.588
1,229,51.3,54.6,0,-5.519,-4.169,-2.968,-2.171,-1.579,-1.883,-2.832
1,230,96.6,128.1,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,231,466.6,503.1,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,232,1702.1,1900,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,233,1626.1,1783.3,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,234,68.3,212.9,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,235,7516.6,8183.1,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
1,236,8016.6,8783.1,0.0449371,-5.26559,-2.9514,-1.97552,-1.33367,-0.739933,-1.14261,-1.77034
2,1,2.9,6.8,0,-0.002,-0.092,-0.203,-0.022,0.917,0.159,0
2,2,2.3,5.3,0,0.156,-0.062,-0.13,0.003,0.996,0.207,0.1
2,3,4.5,9.4,0,-0.467,-0.362,-0.31,-0.127,0.598,0.092,-0.097
2,4,6.9,13.5,0,-0.89,-0.582,-0.463,-0.287,0.369,-0.057,-0.272
2,5,4.5,9.1,0,-0.418,-0.355,-0.306,-0.123,0.847,0.09,-0.042
2,6,6.9,11.8,0,-1.019,-0.658,-0.501,-0.257,0.387,-0.043,-0.162
2,7,8.1,13.4,0,-1.125,-0.726,-0.557,-0.306,0.351,-0.102,-0.243
2,8,8.1,15.6,0,-1.151,-0.752,-0.592,-0.342,0.304,-0.148,-0.364
2,9,9.5,17.3,0,-1.463,-0.923,-0.702,-0.404,0.228,-0.221,-0.429
2,10,11.4,17.3,0,-1.948,-1.142,-0.826,-0.457,0.18,-0.295,-0.498
2,11,4.6,8.8,0,-0.574,-0.367,-0.333,-0.135,0.56,0.056,-0.056
2,12,6.4,11.4,0,-0.876,-0.655,-0.526,-0.223,0.599,-0.008,-0.047
2,13,7.5,14.1,0,-0.865,-0.648,-0.513,-0.266,0.412,0.04,-0.018
2,14,9.5,14.5,0,-1.589,-0.943,-0.682,-0.38,0.25,-0.138,-0.367
2,15,11.3,19,0,-1.852,-1.106,-0.807,-0.485,0.15,-0.269,-0.517
2,16,13.9,20.2,0,-2.418,-1.381,-0.972,-0.574,0.044,-0.348,-0.673
2,17,15,20.4,0,-2.35,-1.44,-1.03,-0.622,0.015,-0.456,-0.731
2,18,17,21.8,0,-2.517,-1.489,-1.053,-0.659,-0.04,-0.488,-0.8
2,19,13.7,18.2,0,-2.174,-1.263,-0.898,-0.535,0.104,-0.354,-0.602
2,20,15.5,21.6,0,-2.514,-1.478,-1.041,-0.965,-0.017,-0.536,-0.825
2,21,19.8,24.6,0,-3.162,-1.762,-1.225,-0.759,-0.132,-0.585,-0.933
2,22,21.7,26.3,0,-3.673,-2.063,-1.437,-0.888,-0.262,-0.728,-1.127
2,23,19.1,23.1,0,-2.904,-1.735,-1.229,-0.741,-0.113,-0.573,-0.915
2,24,23.4,28.5,0.037,-3.54,-2.177,-1.343,-0.878,-0.296,-0.743,-1.168
2,25,20.4,24.3,0,-3.006,-1.873,-1.333,-0.802,-0.174,-0.632,-1.008
2,26,21.5,26.1,0,-3.217,-1.946,-1.375,-0.853,-0.227,-0.674,-1.078
2,27,21.1,25.8,0,-3.309,-1.971,-1.393,-0.841,-0.215,-0.664,-1.062
2,28,23.7,31,0,-3.757,-2.195,-1.544,-0.974,-0.36,-0.794,-1.238
2,29,13.2,17.5,0,-2.236,-1.296,-0.913,-0.5,0.117,-0.277,-0.549
2,30,14.9,20.8,0,-2.449,-1.425,-1.007,-0.588,0.03,-0.362,-0.694
2,31,16.4,25,0,-2.751,-1.568,-1.116,-0.679,-0.057,-0.465,-0.82
2,32,15.6,19.6,0,-2.788,-1.583,-1.11,-0.626,-0.005,-0.391,-0.726
2,33,17.6,21.6,0,-3.311,-1.941,-1.388,-0.727,-0.116,-0.486,-0.874
2,34,20,24.6,0,-3.131,-1.969,-1.47,-0.852,-0.234,-0.637,-1.055
2,35,32.4,39.3,0,-5.855,-3.375,-2.107,-1.332,-0.728,-1.148,-1.742
2,36,31.5,38.1,0,-5.316,-3.075,-1.904,-1.287,-0.669,-1.054,-1.651
2,37,30.6,37.7,0,-5.095,-2.864,-1.758,-1.172,-0.555,-0.947,-1.503
2,38,35.2,43.4,0,-5.776,-3.36,-2.125,-1.466,-0.85,-1.242,-1.907
2,39,27.3,33.9,0.016,-4.774,-2.615,-1.738,-1.051,-0.506,-0.923,-1.424
2,40,26.9,31.2,0.025,-4.276,-2.655,-1.563,-1.009,-0.446,-0.837,-1.346
2,41,26,30.9,0,-4.551,-2.623,-1.596,-1.035,-0.418,-0.81,-1.315
2,42,28,32.1,0,-4.57,-2.679,-1.622,-1.091,-0.476,-0.864,-1.385
2,43,30.1,34.2,0,-5.025,-2.979,-1.816,-1.171,-0.573,-0.969,-1.519
