TAZ,Commodity,Quantity
11125,Single Family Detached Residential Economy,3160
11127,Single Family Detached Residential Economy,3160
11140,Single Family Detached Residential Economy,15084
11143,Single Family Detached Residential Economy,15084
11144,Single Family Detached Residential Economy,15084
11190,Single Family Detached Residential Economy,21655
11191,Single Family Detached Residential Economy,21655
11192,Single Family Detached Residential Economy,21655
11196,Single Family Detached Residential Economy,7095
11196,Single Family Attached Residential Economy,10046
11201,Single Family Detached Residential Economy,23458
11202,Single Family Detached Residential Economy,23458
11205,Religious Space,0
11205,Single Family Detached Residential Economy,31620
11893,Single Family Attached Residential Economy,966
11893,Retail Space,250
11893,Religious Space,1012.5
11893,Multi-Family Residential Economy,6862
11895,Single Family Attached Residential Economy,966
11895,Retail Space,250
11895,Religious Space,1012.5
11895,Multi-Family Residential Economy,6862
12585,Single Family Detached Residential Luxury,1437.666667
12585,Single Family Attached Residential Economy,7480
12585,Multi-Family Residential Economy,19744
12587,Single Family Detached Residential Luxury,1437.666667
12587,Single Family Attached Residential Economy,7480
12587,Multi-Family Residential Economy,19744
12588,Single Family Detached Residential Luxury,1437.666667
12588,Single Family Attached Residential Economy,7480
12588,Multi-Family Residential Economy,19744
12589,Single Family Detached Residential Luxury,168
12589,Religious Space,0
12589,Single Family Detached Residential Economy,2080.75
12589,Multi-Family Residential Economy,19425.25
12589,Single Family Attached Residential Economy,2326
12590,Single Family Detached Residential Luxury,168
12590,Religious Space,0
12590,Single Family Detached Residential Economy,2080.75
12590,Multi-Family Residential Economy,19425.25
12590,Single Family Attached Residential Economy,2326
12591,Single Family Detached Residential Luxury,168
12591,Religious Space,0
12591,Single Family Detached Residential Economy,2080.75
12591,Multi-Family Residential Economy,19425.25
12591,Single Family Attached Residential Economy,2326
12592,Single Family Detached Residential Luxury,168
12592,Religious Space,0
12592,Single Family Detached Residential Economy,2080.75
12592,Multi-Family Residential Economy,19425.25
12592,Single Family Attached Residential Economy,2326
12595,Multi-Family Residential Economy,2061
12595,Retail Space,3011.5
12595,Health Care Space,3479
12595,Religious Space,0
12595,Single Family Detached Residential Economy,854.5
12595,Single Family Attached Residential Economy,1094.5
12596,Multi-Family Residential Economy,2061
12596,Retail Space,3011.5
12596,Health Care Space,3479
12596,Religious Space,0
12596,Single Family Detached Residential Economy,854.5
12596,Single Family Attached Residential Economy,1094.5
13122,Single Family Detached Residential Economy,60.57142857
13122,Single Family Attached Residential Economy,824.7142857
13122,Multi-Family Residential Economy,4521.928571
13123,Single Family Detached Residential Economy,60.57142857
13123,Single Family Attached Residential Economy,824.7142857
13123,Multi-Family Residential Economy,4521.928571
13124,Single Family Detached Residential Economy,60.57142857
13124,Single Family Attached Residential Economy,824.7142857
13124,Multi-Family Residential Economy,4521.928571
13125,Single Family Detached Residential Economy,60.57142857
13125,Single Family Attached Residential Economy,824.7142857
13125,Multi-Family Residential Economy,4521.928571
13126,Single Family Detached Residential Economy,60.57142857
13126,Single Family Attached Residential Economy,824.7142857
13126,Multi-Family Residential Economy,4521.928571
13139,Single Family Detached Residential Economy,60.57142857
13139,Single Family Attached Residential Economy,824.7142857
13139,Multi-Family Residential Economy,4521.928571
13140,Single Family Detached Residential Economy,60.57142857
13140,Single Family Attached Residential Economy,824.7142857
13140,Multi-Family Residential Economy,4521.928571
13141,Single Family Detached Residential Economy,60.57142857
13141,Single Family Attached Residential Economy,824.7142857
13141,Multi-Family Residential Economy,4521.928571
13145,Single Family Detached Residential Economy,60.57142857
13145,Single Family Attached Residential Economy,824.7142857
13145,Multi-Family Residential Economy,4521.928571
13146,Single Family Detached Residential Economy,60.57142857
13146,Single Family Attached Residential Economy,824.7142857
13146,Multi-Family Residential Economy,4521.928571
13147,Single Family Detached Residential Economy,60.57142857
13147,Single Family Attached Residential Economy,824.7142857
13147,Multi-Family Residential Economy,4521.928571
13148,Single Family Detached Residential Economy,60.57142857
13148,Single Family Attached Residential Economy,824.7142857
13148,Multi-Family Residential Economy,4521.928571
13156,Single Family Detached Residential Economy,60.57142857
13156,Single Family Attached Residential Economy,824.7142857
13156,Multi-Family Residential Economy,4521.928571
13161,Single Family Detached Residential Economy,60.57142857
13161,Single Family Attached Residential Economy,824.7142857
13161,Multi-Family Residential Economy,4521.928571
27,Single Family Detached Residential Economy,1209.071429
27,Single Family Attached Residential Economy,1582.428571
27,Multi-Family Residential Economy,1335.642857
30,Single Family Detached Residential Economy,1209.071429
30,Single Family Attached Residential Economy,1582.428571
30,Multi-Family Residential Economy,1335.642857
31,Single Family Detached Residential Economy,1209.071429
31,Single Family Attached Residential Economy,1582.428571
31,Multi-Family Residential Economy,1335.642857
